SUBJECT	 TRIAL	 SOUND	 RT
22	 1	 tt1t25n_2500.wav	 1.530348
22	 2	 tt1tp5n_3500.wav	 1.073227
22	 3	 tt1t1n_3250.wav	 1.373025
22	 4	 tt1t6f_5750.wav	 2.891552
22	 5	 tt1t6n_750.wav	 1.375860
22	 6	 tt1t2n_2750.wav	 1.475836
22	 7	 tt1t3n_2250.wav	 1.480162
22	 8	 tt1t15n_3000.wav	 1.648906
22	 9	 tt1t25f_7500.wav	 1.519579
22	 10	 tt1t1f_8250.wav	 1.726017
22	 11	 tt1t3f_7250.wav	 3.404852
22	 12	 tt1t2f_7750.wav	 2.068014
22	 13	 tt1t15f_8000.wav	 2.837333
22	 14	 tt1tp5f_8500.wav	 1.313754
22	 15	 tt1tp5f_8500.wav	 1.112209
22	 16	 tt1t1f_8250.wav	 1.569403
22	 17	 tt1t3f_7250.wav	 2.613411
22	 18	 tt1tp5n_3500.wav	 1.087130
22	 19	 tt1t15f_8000.wav	 1.610938
22	 20	 tt1t6f_5750.wav	 3.465672
22	 21	 tt1t1n_3250.wav	 1.216750
22	 22	 tt1t25n_2500.wav	 1.258005
22	 23	 tt1t6n_750.wav	 1.123059
22	 24	 tt1t15n_3000.wav	 1.180043
22	 25	 tt1t25f_7500.wav	 2.525351
22	 26	 tt1t2f_7750.wav	 2.569553
22	 27	 tt1t3n_2250.wav	 1.488332
22	 28	 tt1t2n_2750.wav	 1.527006
22	 29	 tt1t2f_7750.wav	 2.722885
22	 30	 tt1t25f_7500.wav	 2.006926
22	 31	 tt1tp5f_8500.wav	 1.472262
22	 32	 tt1t15n_3000.wav	 1.651991
22	 33	 tt1t25n_2500.wav	 1.674378
22	 34	 tt1t3n_2250.wav	 2.024888
22	 35	 tt1t6n_750.wav	 1.330245
22	 36	 tt1t2n_2750.wav	 1.504499
22	 37	 tt1t15f_8000.wav	 2.348472
22	 38	 tt1tp5n_3500.wav	 1.066910
22	 39	 tt1t1f_8250.wav	 1.369439
22	 40	 tt1t3f_7250.wav	 3.205175
22	 41	 tt1t6f_5750.wav	 2.486990
22	 42	 tt1t1n_3250.wav	 1.320474
22	 43	 tt1t15f_8000.wav	 2.062888
22	 44	 tt1t2f_7750.wav	 2.474730
22	 45	 tt1t3n_2250.wav	 1.465293
22	 46	 tt1t25f_7500.wav	 2.810393
22	 47	 tt1t15n_3000.wav	 1.659672
22	 48	 tt1t25n_2500.wav	 1.367444
22	 49	 tt1t2n_2750.wav	 1.373834
22	 50	 tt1t1n_3250.wav	 1.060175
22	 51	 tt1tp5n_3500.wav	 0.893297
22	 52	 tt1tp5f_8500.wav	 1.158083
22	 53	 tt1t3f_7250.wav	 1.791136
22	 54	 tt1t6f_5750.wav	 2.368409
22	 55	 tt1t1f_8250.wav	 2.132757
22	 56	 tt1t6n_750.wav	 1.453646
22	 57	 tt1tp5n_3500.wav	 1.084536
22	 58	 tt1t25n_2500.wav	 1.359609
22	 59	 tt1t6f_5750.wav	 2.552713
22	 60	 tt1t2f_7750.wav	 1.606657
22	 61	 tt1t3f_7250.wav	 2.383846
22	 62	 tt1t1f_8250.wav	 2.094484
22	 63	 tt1t6n_750.wav	 1.322558
22	 64	 tt1t25f_7500.wav	 2.558179
22	 65	 tt1t15n_3000.wav	 1.490271
22	 66	 tt1t3n_2250.wav	 1.678124
22	 67	 tt1t15f_8000.wav	 2.833748
22	 68	 tt1t2n_2750.wav	 1.659328
22	 69	 tt1t1n_3250.wav	 1.324816
22	 70	 tt1tp5f_8500.wav	 1.205852
22	 71	 tt1tp5f_8500.wav	 1.238827
22	 72	 tt1tp5n_3500.wav	 1.050424
22	 73	 tt1t1f_8250.wav	 1.328827
22	 74	 tt1t25f_7500.wav	 2.433818
22	 75	 tt1t1n_3250.wav	 1.299370
22	 76	 tt1t2f_7750.wav	 2.188280
22	 77	 tt1t15f_8000.wav	 1.936254
22	 78	 tt1t2n_2750.wav	 1.433601
22	 79	 tt1t6f_5750.wav	 2.554591
22	 80	 tt1t15n_3000.wav	 1.486538
22	 81	 tt1t3f_7250.wav	 2.754380
22	 82	 tt1t6n_750.wav	 1.174421
22	 83	 tt1t25n_2500.wav	 1.343498
22	 84	 tt1t3n_2250.wav	 1.461612
22	 85	 tt1t25n_2500.wav	 1.340255
22	 86	 tt1t15f_8000.wav	 1.941180
22	 87	 tt1tp5f_8500.wav	 1.144994
22	 88	 tt1t3f_7250.wav	 2.202265
22	 89	 tt1t2n_2750.wav	 1.187457
22	 90	 tt1t3n_2250.wav	 1.103031
22	 91	 tt1tp5n_3500.wav	 1.079790
22	 92	 tt1t6n_750.wav	 1.123261
22	 93	 tt1t6f_5750.wav	 2.433459
22	 94	 tt1t25f_7500.wav	 3.040219
22	 95	 tt1t15n_3000.wav	 1.830766
22	 96	 tt1t2f_7750.wav	 3.082654
22	 97	 tt1t1f_8250.wav	 2.257546
22	 98	 tt1t1n_3250.wav	 1.509288
22	 99	 tt1t1f_8250.wav	 2.134232
22	 100	 tt1t1n_3250.wav	 1.273961
22	 101	 tt1t6f_5750.wav	 3.104150
22	 102	 tt1t2f_7750.wav	 2.537570
22	 103	 tt1t3n_2250.wav	 1.560178
22	 104	 tt1t6n_750.wav	 1.441326
22	 105	 tt1tp5n_3500.wav	 1.282008
22	 106	 tt1t15f_8000.wav	 2.349596
22	 107	 tt1t3f_7250.wav	 3.108062
22	 108	 tt1t25f_7500.wav	 2.904189
22	 109	 tt1t25n_2500.wav	 1.513640
22	 110	 tt1tp5f_8500.wav	 1.346461
22	 111	 tt1t2n_2750.wav	 1.120519
22	 112	 tt1t15n_3000.wav	 1.102494
22	 113	 tt1t2f_7750.wav	 2.820492
22	 114	 tt1t15f_8000.wav	 2.560598
22	 115	 tt1tp5n_3500.wav	 1.116451
22	 116	 tt1t15n_3000.wav	 1.218651
22	 117	 tt1t25n_2500.wav	 1.744751
22	 118	 tt1t25f_7500.wav	 2.831225
22	 119	 tt1t6f_5750.wav	 3.232328
22	 120	 tt1t1n_3250.wav	 1.671211
22	 121	 tt1t1f_8250.wav	 2.661479
22	 122	 tt1tp5f_8500.wav	 1.753720
