SUBJECT	 TRIAL	 SOUND	 RT
4	 1	 tt1t25n_2500.wav	 2.297432
4	 2	 tt1tp5n_3500.wav	 1.085461
4	 3	 tt1t1n_3250.wav	 1.641015
4	 4	 tt1t6f_5750.wav	 3.863486
4	 5	 tt1t6n_750.wav	 2.025259
4	 6	 tt1t2n_2750.wav	 1.949084
4	 7	 tt1t3n_2250.wav	 2.454115
4	 8	 tt1t15n_3000.wav	 2.468690
4	 9	 tt1t25f_7500.wav	 3.494058
4	 10	 tt1t1f_8250.wav	 2.741009
4	 11	 tt1t3f_7250.wav	 3.966551
4	 12	 tt1t2f_7750.wav	 3.819028
4	 13	 tt1t15f_8000.wav	 3.362087
4	 14	 tt1tp5f_8500.wav	 1.720952
4	 15	 tt1tp5f_8500.wav	 2.714170
4	 16	 tt1t1f_8250.wav	 3.131721
4	 17	 tt1t3f_7250.wav	 3.823966
4	 18	 tt1tp5n_3500.wav	 1.476251
4	 19	 tt1t15f_8000.wav	 3.207845
4	 20	 tt1t6f_5750.wav	 4.116189
4	 21	 tt1t1n_3250.wav	 2.317891
4	 22	 tt1t25n_2500.wav	 2.732452
4	 23	 tt1t6n_750.wav	 2.160487
4	 24	 tt1t15n_3000.wav	 2.545669
4	 25	 tt1t25f_7500.wav	 3.560388
4	 26	 tt1t2f_7750.wav	 3.031439
4	 27	 tt1t3n_2250.wav	 2.635502
4	 28	 tt1t2n_2750.wav	 2.378068
4	 29	 tt1t2f_7750.wav	 3.064853
4	 30	 tt1t25f_7500.wav	 3.495649
4	 31	 tt1tp5f_8500.wav	 2.766381
4	 32	 tt1t15n_3000.wav	 2.754594
4	 33	 tt1t25n_2500.wav	 2.798533
4	 34	 tt1t3n_2250.wav	 3.368005
4	 35	 tt1t6n_750.wav	 2.212105
4	 36	 tt1t2n_2750.wav	 2.338773
4	 37	 tt1t15f_8000.wav	 3.723993
4	 38	 tt1tp5n_3500.wav	 1.221623
4	 39	 tt1t1f_8250.wav	 2.339843
4	 40	 tt1t3f_7250.wav	 3.287560
4	 41	 tt1t6f_5750.wav	 3.702627
4	 42	 tt1t1n_3250.wav	 1.770844
4	 43	 tt1t15f_8000.wav	 2.419697
4	 44	 tt1t2f_7750.wav	 2.178498
4	 45	 tt1t3n_2250.wav	 2.289028
4	 46	 tt1t25f_7500.wav	 3.052933
4	 47	 tt1t15n_3000.wav	 3.006309
4	 48	 tt1t25n_2500.wav	 2.322368
4	 49	 tt1t2n_2750.wav	 1.648841
4	 50	 tt1t1n_3250.wav	 1.234430
4	 51	 tt1tp5n_3500.wav	 1.061274
4	 52	 tt1tp5f_8500.wav	 1.808758
4	 53	 tt1t3f_7250.wav	 3.449529
4	 54	 tt1t6f_5750.wav	 3.568424
4	 55	 tt1t1f_8250.wav	 2.644582
4	 56	 tt1t6n_750.wav	 1.131452
4	 57	 tt1tp5n_3500.wav	 1.036155
4	 58	 tt1t25n_2500.wav	 1.575278
4	 59	 tt1t6f_5750.wav	 1.794850
4	 60	 tt1t2f_7750.wav	 2.801459
4	 61	 tt1t3f_7250.wav	 2.773558
4	 62	 tt1t1f_8250.wav	 3.249567
4	 63	 tt1t6n_750.wav	 1.136345
4	 64	 tt1t25f_7500.wav	 2.566868
4	 65	 tt1t15n_3000.wav	 1.815880
