SUBJECT	 TRIAL	 SOUND	 RT
18	 1	 tt1t25n_2500.wav	 1.901574
18	 2	 tt1tp5n_3500.wav	 1.196305
18	 3	 tt1t1n_3250.wav	 1.594721
18	 4	 tt1t6f_5750.wav	 5.131913
18	 5	 tt1t6n_750.wav	 2.345009
18	 6	 tt1t2n_2750.wav	 2.295749
18	 7	 tt1t3n_2250.wav	 2.993250
18	 8	 tt1t15n_3000.wav	 3.226688
18	 9	 tt1t25f_7500.wav	 4.388550
18	 10	 tt1t1f_8250.wav	 3.649370
18	 11	 tt1t3f_7250.wav	 3.744603
18	 12	 tt1t2f_7750.wav	 4.487854
18	 13	 tt1t15f_8000.wav	 3.498082
18	 14	 tt1tp5f_8500.wav	 1.809404
18	 15	 tt1tp5f_8500.wav	 1.522342
18	 16	 tt1t1f_8250.wav	 1.390189
18	 17	 tt1t3f_7250.wav	 3.044597
18	 18	 tt1tp5n_3500.wav	 1.414005
18	 19	 tt1t15f_8000.wav	 3.628263
18	 20	 tt1t6f_5750.wav	 4.083369
18	 21	 tt1t1n_3250.wav	 2.037114
18	 22	 tt1t25n_2500.wav	 2.318158
18	 23	 tt1t6n_750.wav	 2.626292
18	 24	 tt1t15n_3000.wav	 2.920830
18	 25	 tt1t25f_7500.wav	 3.402631
18	 26	 tt1t2f_7750.wav	 3.574933
18	 27	 tt1t3n_2250.wav	 2.176704
18	 28	 tt1t2n_2750.wav	 1.849993
18	 29	 tt1t2f_7750.wav	 2.683064
18	 30	 tt1t25f_7500.wav	 4.263232
18	 31	 tt1tp5f_8500.wav	 2.171765
18	 32	 tt1t15n_3000.wav	 1.762407
18	 33	 tt1t25n_2500.wav	 1.467540
18	 34	 tt1t3n_2250.wav	 1.631090
18	 35	 tt1t6n_750.wav	 1.722574
18	 36	 tt1t2n_2750.wav	 1.870164
18	 37	 tt1t15f_8000.wav	 3.967271
18	 38	 tt1tp5n_3500.wav	 1.168946
18	 39	 tt1t1f_8250.wav	 3.255126
18	 40	 tt1t3f_7250.wav	 4.221935
18	 41	 tt1t6f_5750.wav	 3.927548
18	 42	 tt1t1n_3250.wav	 1.497339
18	 43	 tt1t15f_8000.wav	 2.404691
18	 44	 tt1t2f_7750.wav	 2.485888
18	 45	 tt1t3n_2250.wav	 1.751224
18	 46	 tt1t25f_7500.wav	 3.752144
18	 47	 tt1t15n_3000.wav	 2.172610
18	 48	 tt1t25n_2500.wav	 3.120150
18	 49	 tt1t2n_2750.wav	 2.500265
18	 50	 tt1t1n_3250.wav	 1.832069
18	 51	 tt1tp5n_3500.wav	 1.814362
18	 52	 tt1tp5f_8500.wav	 2.412745
18	 53	 tt1t3f_7250.wav	 3.208583
18	 54	 tt1t6f_5750.wav	 5.188773
18	 55	 tt1t1f_8250.wav	 4.129429
18	 56	 tt1t6n_750.wav	 2.152388
18	 57	 tt1tp5n_3500.wav	 1.596201
18	 58	 tt1t25n_2500.wav	 2.119676
18	 59	 tt1t6f_5750.wav	 3.728917
18	 60	 tt1t2f_7750.wav	 4.138424
18	 61	 tt1t3f_7250.wav	 4.732056
18	 62	 tt1t1f_8250.wav	 3.286097
18	 63	 tt1t6n_750.wav	 1.508945
18	 64	 tt1t25f_7500.wav	 2.563330
18	 65	 tt1t15n_3000.wav	 2.810060
18	 66	 tt1t3n_2250.wav	 2.214154
18	 67	 tt1t15f_8000.wav	 2.431401
18	 68	 tt1t2n_2750.wav	 2.061920
18	 69	 tt1t1n_3250.wav	 1.839237
18	 70	 tt1tp5f_8500.wav	 2.066914
18	 71	 tt1tp5f_8500.wav	 1.833389
18	 72	 tt1tp5n_3500.wav	 1.626228
18	 73	 tt1t1f_8250.wav	 3.987042
18	 74	 tt1t25f_7500.wav	 4.135564
18	 75	 tt1t1n_3250.wav	 2.068038
18	 76	 tt1t2f_7750.wav	 2.330464
18	 77	 tt1t15f_8000.wav	 2.305068
18	 78	 tt1t2n_2750.wav	 1.820847
18	 79	 tt1t6f_5750.wav	 5.445887
18	 80	 tt1t15n_3000.wav	 1.667549
18	 81	 tt1t3f_7250.wav	 4.108547
18	 82	 tt1t6n_750.wav	 1.673031
18	 83	 tt1t25n_2500.wav	 1.823474
18	 84	 tt1t3n_2250.wav	 2.616754
18	 85	 tt1t25n_2500.wav	 1.881942
18	 86	 tt1t15f_8000.wav	 3.842262
18	 87	 tt1tp5f_8500.wav	 3.572451
18	 88	 tt1t3f_7250.wav	 5.176656
18	 89	 tt1t2n_2750.wav	 2.885392
18	 90	 tt1t3n_2250.wav	 3.977899
18	 91	 tt1tp5n_3500.wav	 1.419791
18	 92	 tt1t6n_750.wav	 1.485152
18	 93	 tt1t6f_5750.wav	 4.465121
18	 94	 tt1t25f_7500.wav	 4.440342
18	 95	 tt1t15n_3000.wav	 3.815755
18	 96	 tt1t2f_7750.wav	 4.902872
18	 97	 tt1t1f_8250.wav	 4.180862
18	 98	 tt1t1n_3250.wav	 2.268435
18	 99	 tt1t1f_8250.wav	 5.301670
18	 100	 tt1t1n_3250.wav	 3.026278
18	 101	 tt1t6f_5750.wav	 6.150816
18	 102	 tt1t2f_7750.wav	 5.215491
18	 103	 tt1t3n_2250.wav	 5.026118
18	 104	 tt1t6n_750.wav	 3.657761
18	 105	 tt1tp5n_3500.wav	 3.627754
18	 106	 tt1t15f_8000.wav	 6.893498
18	 107	 tt1t3f_7250.wav	 5.742433
18	 108	 tt1t25f_7500.wav	 6.003526
18	 109	 tt1t25n_2500.wav	 4.832736
18	 110	 tt1tp5f_8500.wav	 4.458859
18	 111	 tt1t2n_2750.wav	 3.263543
18	 112	 tt1t15n_3000.wav	 4.145704
18	 113	 tt1t2f_7750.wav	 5.742268
18	 114	 tt1t15f_8000.wav	 5.427566
18	 115	 tt1tp5n_3500.wav	 1.448955
18	 116	 tt1t15n_3000.wav	 1.894932
18	 117	 tt1t25n_2500.wav	 4.413725
18	 118	 tt1t25f_7500.wav	 5.261255
18	 119	 tt1t6f_5750.wav	 4.679612
18	 120	 tt1t1n_3250.wav	 2.668593
18	 121	 tt1t1f_8250.wav	 2.880990
18	 122	 tt1tp5f_8500.wav	 2.023801
18	 123	 tt1t3f_7250.wav	 6.674165
18	 124	 tt1t2n_2750.wav	 3.637205
18	 125	 tt1t6n_750.wav	 4.180364
18	 126	 tt1t3n_2250.wav	 3.345094
18	 127	 tt1t3n_2250.wav	 3.285829
18	 128	 tt1t1f_8250.wav	 3.946437
18	 129	 tt1t15f_8000.wav	 4.868400
18	 130	 tt1tp5f_8500.wav	 4.817300
18	 131	 tt1t3f_7250.wav	 4.136822
18	 132	 tt1t6n_750.wav	 2.416021
18	 133	 tt1t2f_7750.wav	 4.119188
18	 134	 tt1t2n_2750.wav	 3.504591
18	 135	 tt1t25f_7500.wav	 3.866312
18	 136	 tt1t6f_5750.wav	 4.854875
18	 137	 tt1t15n_3000.wav	 5.041169
18	 138	 tt1t25n_2500.wav	 3.755344
18	 139	 tt1t1n_3250.wav	 3.109375
18	 140	 tt1tp5n_3500.wav	 3.041588
