SUBJECT	 TRIAL	 SOUND	 RT
6	 1	 tt1t25n_2500.wav	 2.675855
6	 2	 tt1tp5n_3500.wav	 1.509485
6	 3	 tt1t1n_3250.wav	 2.283902
6	 4	 tt1t6f_5750.wav	 2.746478
6	 5	 tt1t6n_750.wav	 2.206579
6	 6	 tt1t2n_2750.wav	 2.783831
6	 7	 tt1t3n_2250.wav	 2.678629
6	 8	 tt1t15n_3000.wav	 2.789379
6	 9	 tt1t25f_7500.wav	 4.372324
6	 10	 tt1t1f_8250.wav	 3.254016
6	 11	 tt1t3f_7250.wav	 3.898254
6	 12	 tt1t2f_7750.wav	 3.353458
6	 13	 tt1t15f_8000.wav	 3.296354
6	 14	 tt1tp5f_8500.wav	 2.482121
6	 15	 tt1tp5f_8500.wav	 3.371397
6	 16	 tt1t1f_8250.wav	 3.455645
6	 17	 tt1t3f_7250.wav	 4.252644
6	 18	 tt1tp5n_3500.wav	 1.515220
6	 19	 tt1t15f_8000.wav	 3.094753
6	 20	 tt1t6f_5750.wav	 4.704449
6	 21	 tt1t1n_3250.wav	 3.130437
6	 22	 tt1t25n_2500.wav	 3.657252
6	 23	 tt1t6n_750.wav	 2.384328
6	 24	 tt1t15n_3000.wav	 2.646767
6	 25	 tt1t25f_7500.wav	 3.930763
6	 26	 tt1t2f_7750.wav	 4.268773
6	 27	 tt1t3n_2250.wav	 4.185787
6	 28	 tt1t2n_2750.wav	 2.339249
6	 29	 tt1t2f_7750.wav	 2.617681
6	 30	 tt1t25f_7500.wav	 3.640497
6	 31	 tt1tp5f_8500.wav	 3.244884
6	 32	 tt1t15n_3000.wav	 1.953273
6	 33	 tt1t25n_2500.wav	 3.170620
6	 34	 tt1t3n_2250.wav	 4.937270
6	 35	 tt1t6n_750.wav	 3.195246
6	 36	 tt1t2n_2750.wav	 4.708897
6	 37	 tt1t15f_8000.wav	 4.689773
6	 38	 tt1tp5n_3500.wav	 2.062288
6	 39	 tt1t1f_8250.wav	 4.487527
6	 40	 tt1t3f_7250.wav	 4.220230
6	 41	 tt1t6f_5750.wav	 5.672745
6	 42	 tt1t1n_3250.wav	 1.976452
6	 43	 tt1t15f_8000.wav	 4.268179
6	 44	 tt1t2f_7750.wav	 3.072801
6	 45	 tt1t3n_2250.wav	 3.562212
6	 46	 tt1t25f_7500.wav	 4.217352
6	 47	 tt1t15n_3000.wav	 2.376353
6	 48	 tt1t25n_2500.wav	 3.849521
6	 49	 tt1t2n_2750.wav	 3.723446
6	 50	 tt1t1n_3250.wav	 4.021042
6	 51	 tt1tp5n_3500.wav	 2.790895
6	 52	 tt1tp5f_8500.wav	 4.101571
6	 53	 tt1t3f_7250.wav	 4.047419
6	 54	 tt1t6f_5750.wav	 5.038443
6	 55	 tt1t1f_8250.wav	 5.014128
6	 56	 tt1t6n_750.wav	 2.200148
6	 57	 tt1tp5n_3500.wav	 2.262607
6	 58	 tt1t25n_2500.wav	 4.439838
6	 59	 tt1t6f_5750.wav	 6.377763
6	 60	 tt1t2f_7750.wav	 4.758966
6	 61	 tt1t3f_7250.wav	 5.518516
6	 62	 tt1t1f_8250.wav	 4.109955
6	 63	 tt1t6n_750.wav	 2.743587
6	 64	 tt1t25f_7500.wav	 5.432912
6	 65	 tt1t15n_3000.wav	 2.368610
6	 66	 tt1t3n_2250.wav	 2.340597
6	 67	 tt1t15f_8000.wav	 6.245594
6	 68	 tt1t2n_2750.wav	 4.597565
6	 69	 tt1t1n_3250.wav	 2.794240
6	 70	 tt1tp5f_8500.wav	 3.779636
6	 71	 tt1tp5f_8500.wav	 4.645274
6	 72	 tt1tp5n_3500.wav	 3.081800
6	 73	 tt1t1f_8250.wav	 4.277954
6	 74	 tt1t25f_7500.wav	 5.866512
6	 75	 tt1t1n_3250.wav	 2.701051
6	 76	 tt1t2f_7750.wav	 6.430441
6	 77	 tt1t15f_8000.wav	 5.528944
6	 78	 tt1t2n_2750.wav	 4.795236
6	 79	 tt1t6f_5750.wav	 6.485103
6	 80	 tt1t15n_3000.wav	 3.482276
6	 81	 tt1t3f_7250.wav	 6.507925
6	 82	 tt1t6n_750.wav	 1.939842
6	 83	 tt1t25n_2500.wav	 2.461601
6	 84	 tt1t3n_2250.wav	 4.150030
6	 85	 tt1t25n_2500.wav	 4.442571
6	 86	 tt1t15f_8000.wav	 5.065464
6	 87	 tt1tp5f_8500.wav	 4.079102
6	 88	 tt1t3f_7250.wav	 5.576228
6	 89	 tt1t2n_2750.wav	 6.365158
6	 90	 tt1t3n_2250.wav	 5.492995
6	 91	 tt1tp5n_3500.wav	 1.929925
6	 92	 tt1t6n_750.wav	 3.629552
6	 93	 tt1t6f_5750.wav	 8.479218
6	 94	 tt1t25f_7500.wav	 6.298367
6	 95	 tt1t15n_3000.wav	 5.380835
6	 96	 tt1t2f_7750.wav	 5.513600
6	 97	 tt1t1f_8250.wav	 5.836068
6	 98	 tt1t1n_3250.wav	 4.987757
6	 99	 tt1t1f_8250.wav	 5.267164
6	 100	 tt1t1n_3250.wav	 4.269256
6	 101	 tt1t6f_5750.wav	 6.161738
6	 102	 tt1t2f_7750.wav	 6.302858
6	 103	 tt1t3n_2250.wav	 6.982480
6	 104	 tt1t6n_750.wav	 3.444020
6	 105	 tt1tp5n_3500.wav	 3.728163
6	 106	 tt1t15f_8000.wav	 6.500622
6	 107	 tt1t3f_7250.wav	 7.300444
6	 108	 tt1t25f_7500.wav	 5.356621
6	 109	 tt1t25n_2500.wav	 3.646813
6	 110	 tt1tp5f_8500.wav	 6.165715
6	 111	 tt1t2n_2750.wav	 4.245522
6	 112	 tt1t15n_3000.wav	 4.962060
6	 113	 tt1t2f_7750.wav	 6.964030
6	 114	 tt1t15f_8000.wav	 6.441244
6	 115	 tt1tp5n_3500.wav	 1.726460
6	 116	 tt1t15n_3000.wav	 4.348671
6	 117	 tt1t25n_2500.wav	 4.859738
6	 118	 tt1t25f_7500.wav	 6.584919
6	 119	 tt1t6f_5750.wav	 8.173827
6	 120	 tt1t1n_3250.wav	 2.734331
6	 121	 tt1t1f_8250.wav	 4.391498
6	 122	 tt1tp5f_8500.wav	 4.590933
6	 123	 tt1t3f_7250.wav	 6.182211
6	 124	 tt1t2n_2750.wav	 5.075325
6	 125	 tt1t6n_750.wav	 4.762906
6	 126	 tt1t3n_2250.wav	 5.292583
6	 127	 tt1t3n_2250.wav	 6.945508
6	 128	 tt1t1f_8250.wav	 8.383011
6	 129	 tt1t15f_8000.wav	 9.677227
6	 130	 tt1tp5f_8500.wav	 4.099093
6	 131	 tt1t3f_7250.wav	 9.151357
6	 132	 tt1t6n_750.wav	 2.328143
6	 133	 tt1t2f_7750.wav	 7.089286
6	 134	 tt1t2n_2750.wav	 4.409384
6	 135	 tt1t25f_7500.wav	 8.147075
6	 136	 tt1t6f_5750.wav	 9.041094
6	 137	 tt1t15n_3000.wav	 4.462953
6	 138	 tt1t25n_2500.wav	 4.904988
6	 139	 tt1t1n_3250.wav	 3.472212
6	 140	 tt1tp5n_3500.wav	 1.604355
