SUBJECT	 TRIAL	 SOUND	 RT
1	 1	 tt1t25n_2500.wav	 1.253980
1	 2	 tt1tp5n_3500.wav	 0.625581
1	 3	 tt1t1n_3250.wav	 0.775628
1	 4	 tt1t6f_5750.wav	 2.045605
1	 5	 tt1t6n_750.wav	 1.065401
1	 6	 tt1t2n_2750.wav	 1.642287
1	 7	 tt1t3n_2250.wav	 1.821781
1	 8	 tt1t15n_3000.wav	 1.305287
1	 9	 tt1t25f_7500.wav	 2.012821
1	 10	 tt1t1f_8250.wav	 1.992471
1	 11	 tt1t3f_7250.wav	 2.108347
1	 12	 tt1t2f_7750.wav	 1.730883
1	 13	 tt1t15f_8000.wav	 1.907726
1	 14	 tt1tp5f_8500.wav	 1.463238
1	 15	 tt1tp5f_8500.wav	 1.747073
1	 16	 tt1t1f_8250.wav	 1.643851
1	 17	 tt1t3f_7250.wav	 2.348784
1	 18	 tt1tp5n_3500.wav	 0.888864
1	 19	 tt1t15f_8000.wav	 1.585597
1	 20	 tt1t6f_5750.wav	 2.413161
1	 21	 tt1t1n_3250.wav	 1.577145
1	 22	 tt1t25n_2500.wav	 1.735387
1	 23	 tt1t6n_750.wav	 1.451123
1	 24	 tt1t15n_3000.wav	 1.529298
1	 25	 tt1t25f_7500.wav	 1.807420
1	 26	 tt1t2f_7750.wav	 1.731208
1	 27	 tt1t3n_2250.wav	 1.641518
1	 28	 tt1t2n_2750.wav	 1.535872
1	 29	 tt1t2f_7750.wav	 2.245936
1	 30	 tt1t25f_7500.wav	 1.828508
1	 31	 tt1tp5f_8500.wav	 1.869558
1	 32	 tt1t15n_3000.wav	 1.761084
1	 33	 tt1t25n_2500.wav	 1.375404
1	 34	 tt1t3n_2250.wav	 1.210896
1	 35	 tt1t6n_750.wav	 0.987637
1	 36	 tt1t2n_2750.wav	 1.121528
1	 37	 tt1t15f_8000.wav	 1.559443
1	 38	 tt1tp5n_3500.wav	 1.309753
1	 39	 tt1t1f_8250.wav	 1.577119
1	 40	 tt1t3f_7250.wav	 2.268670
1	 41	 tt1t6f_5750.wav	 1.576420
1	 42	 tt1t1n_3250.wav	 1.566717
1	 43	 tt1t15f_8000.wav	 1.781068
1	 44	 tt1t2f_7750.wav	 2.072534
1	 45	 tt1t3n_2250.wav	 1.641624
1	 46	 tt1t25f_7500.wav	 2.487941
1	 47	 tt1t15n_3000.wav	 2.203804
1	 48	 tt1t25n_2500.wav	 1.690010
1	 49	 tt1t2n_2750.wav	 1.469839
1	 50	 tt1t1n_3250.wav	 1.334523
1	 51	 tt1tp5n_3500.wav	 1.066148
1	 52	 tt1tp5f_8500.wav	 1.773223
1	 53	 tt1t3f_7250.wav	 2.568815
1	 54	 tt1t6f_5750.wav	 2.599399
1	 55	 tt1t1f_8250.wav	 2.195436
1	 56	 tt1t6n_750.wav	 1.450404
1	 57	 tt1tp5n_3500.wav	 0.954929
1	 58	 tt1t25n_2500.wav	 1.246227
1	 59	 tt1t6f_5750.wav	 2.103086
1	 60	 tt1t2f_7750.wav	 1.960137
1	 61	 tt1t3f_7250.wav	 1.755830
1	 62	 tt1t1f_8250.wav	 1.946253
1	 63	 tt1t6n_750.wav	 1.358159
1	 64	 tt1t25f_7500.wav	 2.361463
1	 65	 tt1t15n_3000.wav	 1.104166
1	 66	 tt1t3n_2250.wav	 1.016801
1	 67	 tt1t15f_8000.wav	 1.956104
1	 68	 tt1t2n_2750.wav	 1.834336
1	 69	 tt1t1n_3250.wav	 1.822074
1	 70	 tt1tp5f_8500.wav	 1.564324
1	 71	 tt1tp5f_8500.wav	 1.573148
1	 72	 tt1tp5n_3500.wav	 1.643376
1	 73	 tt1t1f_8250.wav	 1.609427
1	 74	 tt1t25f_7500.wav	 1.658467
1	 75	 tt1t1n_3250.wav	 1.667138
1	 76	 tt1t2f_7750.wav	 2.009459
1	 77	 tt1t15f_8000.wav	 1.586393
1	 78	 tt1t2n_2750.wav	 1.558025
1	 79	 tt1t6f_5750.wav	 2.028193
1	 80	 tt1t15n_3000.wav	 2.306445
1	 81	 tt1t3f_7250.wav	 3.326353
1	 82	 tt1t6n_750.wav	 1.738517
1	 83	 tt1t25n_2500.wav	 1.821991
1	 84	 tt1t3n_2250.wav	 1.946064
1	 85	 tt1t25n_2500.wav	 1.730566
1	 86	 tt1t15f_8000.wav	 1.675343
1	 87	 tt1tp5f_8500.wav	 1.337841
1	 88	 tt1t3f_7250.wav	 1.447858
1	 89	 tt1t2n_2750.wav	 2.254008
1	 90	 tt1t3n_2250.wav	 1.751396
1	 91	 tt1tp5n_3500.wav	 0.752607
1	 92	 tt1t6n_750.wav	 1.470346
1	 93	 tt1t6f_5750.wav	 2.055254
1	 94	 tt1t25f_7500.wav	 2.522800
1	 95	 tt1t15n_3000.wav	 1.926791
1	 96	 tt1t2f_7750.wav	 2.383531
1	 97	 tt1t1f_8250.wav	 1.846238
1	 98	 tt1t1n_3250.wav	 1.180281
1	 99	 tt1t1f_8250.wav	 1.962424
1	 100	 tt1t1n_3250.wav	 1.190071
1	 101	 tt1t6f_5750.wav	 2.923842
1	 102	 tt1t2f_7750.wav	 1.391737
1	 103	 tt1t3n_2250.wav	 2.320484
1	 104	 tt1t6n_750.wav	 1.391075
1	 105	 tt1tp5n_3500.wav	 1.098553
1	 106	 tt1t15f_8000.wav	 1.571215
1	 107	 tt1t3f_7250.wav	 1.358610
1	 108	 tt1t25f_7500.wav	 1.249882
1	 109	 tt1t25n_2500.wav	 1.741235
1	 110	 tt1tp5f_8500.wav	 1.448904
1	 111	 tt1t2n_2750.wav	 1.325238
1	 112	 tt1t15n_3000.wav	 2.347876
1	 113	 tt1t2f_7750.wav	 2.279708
1	 114	 tt1t15f_8000.wav	 2.822197
1	 115	 tt1tp5n_3500.wav	 1.244835
1	 116	 tt1t15n_3000.wav	 1.192322
1	 117	 tt1t25n_2500.wav	 2.179724
1	 118	 tt1t25f_7500.wav	 1.418188
1	 119	 tt1t6f_5750.wav	 2.085739
1	 120	 tt1t1n_3250.wav	 2.582611
1	 121	 tt1t1f_8250.wav	 2.111840
1	 122	 tt1tp5f_8500.wav	 1.678069
1	 123	 tt1t3f_7250.wav	 1.516379
1	 124	 tt1t2n_2750.wav	 1.247904
1	 125	 tt1t6n_750.wav	 1.355459
1	 126	 tt1t3n_2250.wav	 1.326803
1	 127	 tt1t3n_2250.wav	 1.178240
1	 128	 tt1t1f_8250.wav	 1.296398
1	 129	 tt1t15f_8000.wav	 1.235698
1	 130	 tt1tp5f_8500.wav	 1.548514
1	 131	 tt1t3f_7250.wav	 2.640122
1	 132	 tt1t6n_750.wav	 2.193246
1	 133	 tt1t2f_7750.wav	 3.525018
1	 134	 tt1t2n_2750.wav	 1.473313
1	 135	 tt1t25f_7500.wav	 1.833911
1	 136	 tt1t6f_5750.wav	 2.746955
1	 137	 tt1t15n_3000.wav	 2.137559
1	 138	 tt1t25n_2500.wav	 1.445103
1	 139	 tt1t1n_3250.wav	 2.045923
1	 140	 tt1tp5n_3500.wav	 1.084106
