SUBJECT	 TRIAL	 SOUND	 RT
5	 1	 tt1t25n_2500.wav	 1.805323
5	 2	 tt1tp5n_3500.wav	 1.121544
5	 3	 tt1t1n_3250.wav	 1.709309
5	 4	 tt1t6f_5750.wav	 3.225610
5	 5	 tt1t6n_750.wav	 2.021764
5	 6	 tt1t2n_2750.wav	 2.604323
5	 7	 tt1t3n_2250.wav	 2.045960
5	 8	 tt1t15n_3000.wav	 2.226224
5	 9	 tt1t25f_7500.wav	 2.765913
5	 10	 tt1t1f_8250.wav	 1.799555
5	 11	 tt1t3f_7250.wav	 2.555476
5	 12	 tt1t2f_7750.wav	 2.754353
5	 13	 tt1t15f_8000.wav	 2.001283
5	 14	 tt1tp5f_8500.wav	 2.007695
5	 15	 tt1tp5f_8500.wav	 1.678599
5	 16	 tt1t1f_8250.wav	 1.989131
5	 17	 tt1t3f_7250.wav	 2.281103
5	 18	 tt1tp5n_3500.wav	 1.610520
5	 19	 tt1t15f_8000.wav	 1.907937
5	 20	 tt1t6f_5750.wav	 2.794479
5	 21	 tt1t1n_3250.wav	 1.870664
5	 22	 tt1t25n_2500.wav	 2.277322
5	 23	 tt1t6n_750.wav	 2.201516
5	 24	 tt1t15n_3000.wav	 2.368279
5	 25	 tt1t25f_7500.wav	 3.070906
5	 26	 tt1t2f_7750.wav	 2.723263
5	 27	 tt1t3n_2250.wav	 2.364702
5	 28	 tt1t2n_2750.wav	 1.779393
5	 29	 tt1t2f_7750.wav	 2.548687
5	 30	 tt1t25f_7500.wav	 2.502093
5	 31	 tt1tp5f_8500.wav	 2.159576
5	 32	 tt1t15n_3000.wav	 1.870304
5	 33	 tt1t25n_2500.wav	 1.874034
5	 34	 tt1t3n_2250.wav	 1.800449
5	 35	 tt1t6n_750.wav	 1.791031
5	 36	 tt1t2n_2750.wav	 2.224167
5	 37	 tt1t15f_8000.wav	 1.820175
5	 38	 tt1tp5n_3500.wav	 1.526327
5	 39	 tt1t1f_8250.wav	 2.210109
5	 40	 tt1t3f_7250.wav	 2.822272
5	 41	 tt1t6f_5750.wav	 3.274340
5	 42	 tt1t1n_3250.wav	 1.846637
5	 43	 tt1t15f_8000.wav	 3.074709
5	 44	 tt1t2f_7750.wav	 1.980166
5	 45	 tt1t3n_2250.wav	 2.085310
5	 46	 tt1t25f_7500.wav	 2.796099
5	 47	 tt1t15n_3000.wav	 2.021500
5	 48	 tt1t25n_2500.wav	 2.454818
5	 49	 tt1t2n_2750.wav	 2.152448
5	 50	 tt1t1n_3250.wav	 2.462847
5	 51	 tt1tp5n_3500.wav	 1.560054
5	 52	 tt1tp5f_8500.wav	 1.798774
5	 53	 tt1t3f_7250.wav	 1.891114
5	 54	 tt1t6f_5750.wav	 2.563809
5	 55	 tt1t1f_8250.wav	 2.074449
5	 56	 tt1t6n_750.wav	 2.473213
