SUBJECT	 TRIAL	 SOUND	 RT
7	 1	 tt1t25n_2500.wav	 2.243588
7	 2	 tt1tp5n_3500.wav	 1.335212
7	 3	 tt1t1n_3250.wav	 1.839998
7	 4	 tt1t6f_5750.wav	 3.480816
7	 5	 tt1t6n_750.wav	 2.189130
7	 6	 tt1t2n_2750.wav	 2.011444
7	 7	 tt1t3n_2250.wav	 2.676317
7	 8	 tt1t15n_3000.wav	 1.995191
7	 9	 tt1t25f_7500.wav	 3.470544
7	 10	 tt1t1f_8250.wav	 3.336009
7	 11	 tt1t3f_7250.wav	 4.300046
7	 12	 tt1t2f_7750.wav	 4.667308
7	 13	 tt1t15f_8000.wav	 3.637098
7	 14	 tt1tp5f_8500.wav	 2.793160
7	 15	 tt1tp5f_8500.wav	 2.250498
7	 16	 tt1t1f_8250.wav	 2.683424
7	 17	 tt1t3f_7250.wav	 4.282165
7	 18	 tt1tp5n_3500.wav	 1.281489
7	 19	 tt1t15f_8000.wav	 3.148680
7	 20	 tt1t6f_5750.wav	 3.560528
7	 21	 tt1t1n_3250.wav	 1.522062
7	 22	 tt1t25n_2500.wav	 2.106765
7	 23	 tt1t6n_750.wav	 1.323955
7	 24	 tt1t15n_3000.wav	 1.919477
7	 25	 tt1t25f_7500.wav	 3.802972
7	 26	 tt1t2f_7750.wav	 3.599105
7	 27	 tt1t3n_2250.wav	 2.600513
7	 28	 tt1t2n_2750.wav	 2.199006
7	 29	 tt1t2f_7750.wav	 3.368232
7	 30	 tt1t25f_7500.wav	 4.148299
7	 31	 tt1tp5f_8500.wav	 3.427227
7	 32	 tt1t15n_3000.wav	 2.492695
7	 33	 tt1t25n_2500.wav	 3.925617
7	 34	 tt1t3n_2250.wav	 3.369954
7	 35	 tt1t6n_750.wav	 1.867524
7	 36	 tt1t2n_2750.wav	 2.647062
7	 37	 tt1t15f_8000.wav	 3.522851
7	 38	 tt1tp5n_3500.wav	 1.484303
7	 39	 tt1t1f_8250.wav	 3.575736
7	 40	 tt1t3f_7250.wav	 4.227794
7	 41	 tt1t6f_5750.wav	 5.266884
7	 42	 tt1t1n_3250.wav	 1.183969
7	 43	 tt1t15f_8000.wav	 4.125722
7	 44	 tt1t2f_7750.wav	 4.858381
7	 45	 tt1t3n_2250.wav	 2.923840
7	 46	 tt1t25f_7500.wav	 3.866328
7	 47	 tt1t15n_3000.wav	 2.406618
7	 48	 tt1t25n_2500.wav	 2.807807
7	 49	 tt1t2n_2750.wav	 2.611602
7	 50	 tt1t1n_3250.wav	 1.812780
7	 51	 tt1tp5n_3500.wav	 1.053680
7	 52	 tt1tp5f_8500.wav	 3.259836
7	 53	 tt1t3f_7250.wav	 4.213073
7	 54	 tt1t6f_5750.wav	 4.484029
7	 55	 tt1t1f_8250.wav	 4.221791
7	 56	 tt1t6n_750.wav	 2.463676
7	 57	 tt1tp5n_3500.wav	 1.717962
7	 58	 tt1t25n_2500.wav	 3.102732
7	 59	 tt1t6f_5750.wav	 4.413694
7	 60	 tt1t2f_7750.wav	 5.068387
7	 61	 tt1t3f_7250.wav	 5.654402
7	 62	 tt1t1f_8250.wav	 3.907226
7	 63	 tt1t6n_750.wav	 2.474157
7	 64	 tt1t25f_7500.wav	 4.571238
7	 65	 tt1t15n_3000.wav	 3.519661
7	 66	 tt1t3n_2250.wav	 3.889268
7	 67	 tt1t15f_8000.wav	 5.682715
7	 68	 tt1t2n_2750.wav	 4.106495
7	 69	 tt1t1n_3250.wav	 3.286549
